,BERT,TF-IDF,Transformer
accuracy,0.5127913587265491,0.4866401364411598,0.5548607163160887
precision,0.5127913587265491,0.0,0.5572666025024061
recall,1.0,0.0,0.6419068736141907
f1,0.6779406238256295,0.0,0.5965996908809892
